0,1,2,3,4,5,6,7,8
BBC,CCC,CBB,BCC,BBC,BCC,BBB,BBB,BBB
BCA,CCC,BBC,CCB,BCC,CCC,BBA,BBB,BBA
CAA,CCC,BCC,CBB,CCA,CCB,BAB,BBB,BAA
AAB,CCC,CCC,BBC,CAA,CBB,ABB,BBA,AAA
ABA,CCC,CCB,BCB,AAA,BBB,BBA,BAB,AAB
BAB,CCC,CBB,CBB,AAB,BBA,BAA,ABC,ABC
ABB,CCC,BBB,BBB,ABA,BAB,AAA,BCC,BCC
BBA,CCC,BBA,BBB,BAA,ABB,AAA,CCB,CCC
BAC,CCC,BAB,BBB,AAA,BBB,AAA,CBB,CCC
ACB,CCC,ABB,BBB,AAA,BBB,AAC,BBA,CCC
CBB,CCC,BBB,BBB,AAA,BBB,ACB,BAB,CCB
BBC,CCC,BBB,BBC,AAB,BBB,CBC,ABB,CBB
BCC,CCC,BBC,BCB,ABC,BBB,BCC,BBB,BBB
CCC,CCC,BCC,CBB,BCB,BBB,CCB,BBB,BBB
CCB,CCC,CCC,BBB,CBB,BBB,CBC,BBB,BBA
CBB,CCC,CCB,BBB,BBA,BBC,BCC,BBB,BAA
BBB,CCC,CBB,BBB,BAB,BCB,CCB,BBA,AAA
BBB,CCC,BBB,BBB,ABB,CBC,CBB,BAA,AAB
BBB,CCC,BBB,BBB,BBB,BCC,BBB,AAB,ABB
BBB,CCC,BBB,BBB,BBB,CCB,BBA,ABB,BBB
BBC,CCC,BBA,BBB,BBA,CBB,BAA,BBB,BBA
BCB,CCC,BAA,BBB,BAA,BBB,AAB,BBB,BAB
CBA,CCC,AAA,BBA,AAA,BBB,ABC,BBB,ABC
BAA,CCC,AAB,BAA,AAB,BBB,BCC,BBB,BCA
AAA,CCC,ABB,AAA,ABB,BBC,CCB,BBB,CAA
AAB,CCC,BBB,AAA,BBB,BCB,CBB,BBB,AAA
ABB,CCC,BBA,AAA,BBA,CBB,BBB,BBB,AAB
BBB,CCC,BAA,AAA,BAA,BBB,BBB,BBB,ABB
BBB,CCC,AAA,AAA,AAA,BBB,BBB,BBA,BBB
BBB,CCC,AAA,AAA,AAA,BBB,BBB,BAA,BBA
BBB,CCC,AAB,AAA,AAA,BBB,BBB,AAA,BAA
BBB,CCC,ABB,AAB,AAB,BBB,BBA,AAA,AAB
BBC,CCC,BBB,ABB,ABB,BBB,BAB,AAA,ABB
BCB,CCC,BBA,BBB,BBA,BBB,ABB,AAA,BBC
CBB,CCC,BAA,BBB,BAA,BBB,BBB,AAA,BCC
BBC,CCC,AAB,BBB,AAB,BBB,BBB,AAA,CCC
BCB,CCC,ABB,BBB,ABB,BBB,BBC,AAA,CCC
CBB,CCC,BBC,BBB,BBC,BBC,BCC,AAB,CCB
BBB,CCC,BCC,BBB,BCB,BCC,CCC,ABB,CBB
BBB,CCC,CCC,BBB,CBC,CCC,CCC,BBB,BBB
BBB,CCC,CCC,BBB,BCC,CCB,CCB,BBB,BBB
BBC,CCC,CCB,BBA,CCB,CBB,CBB,BBC,BBC
BCB,CCC,CBB,BAA,CBC,BBB,BBB,BCC,BCC
CBC,CCC,BBC,AAA,BCC,BBB,BBA,CCC,CCA
BCB,CCC,BCC,AAA,CCC,BBB,BAA,CCC,CAA
CBB,CCC,CCC,AAA,CCC,BBB,AAA,CCC,AAA
BBA,CCC,CCB,AAA,CCC,BBA,AAA,CCB,AAA
BAC,CCC,CBB,AAA,CCC,BAA,AAA,CBB,AAA
ACC,CCC,BBC,AAA,CCB,AAC,AAA,BBB,AAB
CCC,CCC,BCB,AAA,CBB,ACB,AAB,BBB,ABB
CCC,CCC,CBB,AAA,BBC,CBB,ABB,BBB,BBB
CCC,CCC,BBA,AAA,BCC,BBB,BBB,BBA,BBB
CCC,CCC,BAB,AAA,CCB,BBB,BBB,BAA,BBC
CCB,CCC,ABB,AAA,CBA,BBB,BBB,AAA,BCB
CBB,CCC,BBB,AAA,BAC,BBB,BBB,AAA,CBB
BBB,CCC,BBB,AAA,ACC,BBB,BBB,AAA,BBB
BBB,CCC,BBC,AAA,CCB,BBB,BBB,AAA,BBC
BBB,CCC,BCB,AAA,CBC,BBB,BBB,AAA,BCC
BBA,CCC,CBA,AAA,BCC,BBC,BBB,AAA,CCB
BAA,CCC,BAB,AAA,CCC,BCC,BBC,AAA,CBC
AAB,CCC,ABB,AAA,CCC,CCC,BCC,AAA,BCC
ABB,CCC,BBB,AAA,CCB,CCC,CCB,AAB,CCC
BBC,CCC,BBB,AAA,CBA,CCB,CBA,ABB,CCB
BCB,CCC,BBC,AAA,BAA,CBB,BAB,BBB,CBB
CBB,CCC,BCB,AAA,AAA,BBB,ABB,BBB,BBB
BBA,CCC,CBB,AAA,AAA,BBB,BBB,BBB,BBB
BAB,CCC,BBC,AAA,AAA,BBB,BBB,BBB,BBC
ABB,CCC,BCC,AAA,AAA,BBB,BBB,BBB,BCB
BBB,CCC,CCB,AAA,AAA,BBA,BBB,BBB,CBC
BBB,CCC,CBA,AAA,AAA,BAA,BBB,BBC,BCB
BBB,CCC,BAA,AAA,AAA,AAB,BBB,BCC,CBA
BBA,CCC,AAB,AAA,AAB,ABB,BBB,CCA,BAB
BAA,CCC,ABB,AAA,ABB,BBC,BBB,CAA,ABB
AAB,CCC,BBB,AAA,BBB,BCB,BBB,AAC,BBB
ABA,CCC,BBC,AAA,BBB,CBC,BBB,ACC,BBB
BAA,CCC,BCC,AAA,BBC,BCB,BBB,CCC,BBB
AAA,CCC,CCB,AAA,BCB,CBC,BBB,CCB,BBB
AAA,CCC,CBB,AAA,CBC,BCC,BBB,CBB,BBB
AAA,CCC,BBC,AAA,BCC,CCC,BBA,BBA,BBB
AAA,CCC,BCB,AAA,CCC,CCB,BAA,BAA,BBB
AAA,CCC,CBA,AAA,CCC,CBA,AAA,AAA,BBB
AAA,CCC,BAA,AAA,CCB,BAA,AAA,AAA,BBA
AAA,CCC,AAA,AAA,CBA,AAA,AAA,AAA,BAA
AAA,CCC,AAA,AAA,BAA,AAA,AAA,AAA,AAA
AAA,CCC,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAA,CCC,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAA,CCC,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAA,CCC,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAA,CCC,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAB,CCC,AAA,AAA,AAB,AAB,AAB,AAA,AAA
ABB,CCC,AAB,AAA,ABB,ABB,ABB,AAB,AAA
BBB,CCC,ABB,AAB,BBB,BBB,BBB,ABB,AAB
BBC,CCC,BBB,ABB,BBC,BBC,BBB,BBC,ABB
BCC,CCC,BBC,BBB,BCC,BCC,BBC,BCC,BBC
CCC,CCC,BCC,BBC,CCC,CCC,BCC,CCC,BCC
CCC,CCC,CCC,BCC,CCC,CCC,CCC,CCC,CCC
CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC
CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC
CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC
CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCB
CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,CBB
CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC,BBB
CCC,CCC,CCC,CCB,CCC,CCB,CCB,CCC,BBB
CCC,CCC,CCC,CBB,CCC,CBB,CBB,CCC,BBC
CCC,CCC,CCC,BBB,CCC,BBB,BBB,CCC,BCB
CCC,CCC,CCC,BBB,CCC,BBB,BBB,CCC,CBB
CCC,CCC,CCC,BBB,CCB,BBB,BBB,CCC,BBC
CCC,CCC,CCC,BBB,CBB,BBC,BBB,CCC,BCC
CCC,CCC,CCC,BBB,BBB,BCC,BBC,CCB,CCB
CCC,CCC,CCC,BBB,BBB,CCC,BCC,CBB,CBC
CCC,CCC,CCC,BBA,BBB,CCB,CCC,BBB,BCC
CCB,CCC,CCC,BAA,BBB,CBB,CCC,BBB,CCC
CBC,CCC,CCB,AAA,BBB,BBB,CCC,BBB,CCC
BCC,CCC,CBC,AAA,BBC,BBB,CCB,BBC,CCC
CCB,CCC,BCC,AAA,BCB,BBB,CBB,BCB,CCC
CBC,CCC,CCC,AAA,CBB,BBB,BBB,CBB,CCB
BCC,CCC,CCC,AAA,BBB,BBB,BBB,BBC,CBB
CCB,CCC,CCC,AAA,BBB,BBB,BBC,BCC,BBC
CBB,CCC,CCB,AAB,BBC,BBC,BCB,CCC,BCB
BBB,CCC,CBB,ABB,BCB,BCB,CBA,CCB,CBB
BBC,CCC,BBC,BBB,CBC,CBC,BAA,CBB,BBB
BCB,CCC,BCB,BBB,BCC,BCC,AAA,BBB,BBB
CBB,CCC,CBB,BBB,CCC,CCC,AAA,BBB,BBB
BBC,CCC,BBB,BBB,CCB,CCC,AAB,BBC,BBC
BCC,CCC,BBC,BBB,CBA,CCB,ABB,BCC,BCC
CCC,CCC,BCC,BBB,BAB,CBA,BBB,CCC,CCC
CCC,CCC,CCC,BBB,ABB,BAA,BBC,CCC,CCC
CCC,CCC,CCC,BBB,BBB,AAA,BCB,CCC,CCC
CCB,CCC,CCC,BBA,BBB,AAA,CBB,CCB,CCC
CBC,CCC,CCC,BAA,BBB,AAB,BBC,CBB,CCB
BCC,CCC,CCC,AAA,BBB,ABB,BCB,BBA,CBB
CCB,CCC,CCB,AAA,BBB,BBB,CBB,BAA,BBB
CBB,CCC,CBB,AAA,BBB,BBB,BBB,AAA,BBB
BBB,CCC,BBB,AAA,BBB,BBB,BBB,AAA,BBB
BBB,CCC,BBA,AAA,BBB,BBB,BBA,AAB,BBA
BBB,CCC,BAB,AAA,BBA,BBA,BAA,ABB,BAB
BBB,CCC,ABB,AAA,BAA,BAA,AAA,BBB,ABB
BBA,CCC,BBA,AAA,AAA,AAA,AAA,BBB,BBB
BAB,CCC,BAA,AAA,AAA,AAA,AAB,BBB,BBA
ABA,CCC,AAA,AAA,AAA,AAA,ABB,BBB,BAA
BAA,CCC,AAA,AAA,AAA,AAA,BBC,BBB,AAA
AAA,CCC,AAB,AAA,AAA,AAC,BCC,BBC,AAA
AAA,CCC,ABA,AAB,AAA,ACC,CCC,BCB,AAB
AAA,CCC,BAA,ABB,AAA,CCB,CCC,CBC,ABB
AAA,CCC,AAA,BBB,AAA,CBC,CCC,BCC,BBC
AAB,CCC,AAB,BBB,AAA,BCC,CCB,CCC,BCB
ABB,CCC,ABB,BBB,AAA,CCB,CBB,CCB,CBB
BBB,CCC,BBA,BBB,AAA,CBB,BBB,CBC,BBB
BBA,CCC,BAB,BBB,AAB,BBB,BBB,BCB,BBB
BAB,CCC,ABA,BBB,ABB,BBB,BBC,CBB,BBB
ABC,CCC,BAA,BBB,BBB,BBB,BCB,BBA,BBB
BCC,CCC,AAA,BBB,BBB,BBB,CBA,BAA,BBB
CCC,CCC,AAA,BBA,BBB,BBB,BAA,AAA,BBB
CCC,CCC,AAB,BAA,BBB,BBB,AAA,AAC,BBB
CCC,CCC,ABC,AAA,BBB,BBB,AAC,ACC,BBB
CCC,CCC,BCC,AAA,BBB,BBA,ACB,CCC,BBC
CCC,CCC,CCB,AAA,BBB,BAA,CBC,CCC,BCC
CCB,CCC,CBB,AAA,BBB,AAB,BCC,CCB,CCC
CBB,CCC,BBB,AAA,BBA,ABB,CCB,CBC,CCC
BBB,CCC,BBB,AAA,BAA,BBB,CBB,BCA,CCC
BBB,CCC,BBB,AAA,AAA,BBC,BBB,CAA,CCA
BBB,CCC,BBB,AAA,AAA,BCB,BBB,AAA,CAA
BBC,CCC,BBB,AAA,AAA,CBB,BBB,AAA,AAB
BCB,CCC,BBC,AAA,AAA,BBB,BBB,AAA,ABB
CBB,CCC,BCB,AAA,AAA,BBB,BBA,AAB,BBB
BBA,CCC,CBC,AAA,AAA,BBB,BAB,ABA,BBB
BAA,CCC,BCC,AAA,AAA,BBB,ABB,BAB,BBB
AAB,CCC,CCB,AAA,AAA,BBB,BBA,ABB,BBB
ABB,CCC,CBC,AAA,AAA,BBB,BAB,BBB,BBB
BBB,CCC,BCC,AAA,AAA,BBB,ABC,BBB,BBB
BBB,CCC,CCB,AAA,AAA,BBB,BCB,BBB,BBB
BBB,CCC,CBC,AAA,AAA,BBA,CBB,BBC,BBB
BBA,CCC,BCB,AAA,AAA,BAA,BBB,BCC,BBA
BAA,CCC,CBB,AAA,AAA,AAA,BBB,CCB,BAA
AAC,CCC,BBB,AAA,AAA,AAA,BBA,CBB,AAA
ACC,CCC,BBB,AAA,AAA,AAA,BAB,BBB,AAB
CCC,CCC,BBB,AAA,AAA,AAA,ABA,BBA,ABB
CCB,CCC,BBB,AAA,AAA,AAA,BAA,BAA,BBB
CBB,CCC,BBA,AAA,AAA,AAA,AAA,AAB,BBB
BBB,CCC,BAB,AAA,AAA,AAC,AAA,ABB,BBC
BBB,CCC,ABC,AAA,AAA,ACC,AAA,BBB,BCB
BBC,CCC,BCC,AAA,AAA,CCC,AAB,BBB,CBB
BCB,CCC,CCC,AAB,AAA,CCC,ABB,BBB,BBB
CBB,CCC,CCC,ABB,AAA,CCC,BBB,BBB,BBB
BBC,CCC,CCC,BBB,AAA,CCB,BBB,BBC,BBC
BCC,CCC,CCB,BBB,AAA,CBA,BBB,BCB,BCC
CCB,CCC,CBA,BBB,AAA,BAB,BBC,CBB,CCC
CBC,CCC,BAA,BBB,AAC,ABA,BCA,BBA,CCC
BCA,CCC,AAA,BBA,ACC,BAA,CAA,BAA,CCC
CAA,CCC,AAA,BAA,CCC,AAA,AAA,AAA,CCC
AAB,CCC,AAC,AAA,CCC,AAA,AAA,AAA,CCC
ABB,CCC,ACC,AAA,CCC,AAA,AAA,AAA,CCC
BBC,CCC,CCC,AAA,CCC,AAA,AAA,AAA,CCC
BCC,CCC,CCC,AAB,CCC,AAA,AAA,AAA,CCC
CCC,CCC,CCC,ABC,CCC,AAA,AAA,AAA,CCC
CCC,CCC,CCC,BCC,CCC,AAA,AAA,AAB,CCC
CCC,CCC,CCC,CCC,CCC,AAA,AAA,ABB,CCC
CCC,CCC,CCC,CCC,CCC,AAA,AAA,BBB,CCC
CCC,CCC,CCB,CCC,CCB,AAA,AAA,BBC,CCC
CCB,CCC,CBB,CCC,CBB,AAB,AAB,BCB,CCB
CBB,CCC,BBB,CCB,BBB,ABB,ABB,CBB,CBB
BBB,CCC,BBB,CBB,BBB,BBC,BBC,BBC,BBA
BBA,CCC,BBA,BBB,BBA,BCC,BCC,BCC,BAA
BAA,CCC,BAA,BBA,BAA,CCC,CCC,CCC,AAA
AAA,CCC,AAA,BAA,AAA,CCC,CCC,CCB,AAA
AAA,CCC,AAA,AAA,AAA,CCC,CCC,CBC,AAA
AAB,CCC,AAA,AAA,AAA,CCC,CCC,BCC,AAA
ABB,CCC,AAA,AAB,AAA,CCC,CCC,CCC,AAA
BBB,CCC,AAA,ABB,AAA,CCC,CCC,CCC,AAA
BBB,CCC,AAA,BBB,AAA,CCC,CCC,CCC,AAA
BBB,CCC,AAA,BBB,AAA,CCC,CCB,CCC,AAA
BBB,CCC,AAB,BBB,AAB,CCC,CBB,CCB,AAA
BBB,CCC,ABA,BBB,ABB,CCC,BBC,CBC,AAA
BBB,CCC,BAB,BBB,BBA,CCC,BCB,BCB,AAA
BBB,CCC,ABB,BBB,BAB,CCC,CBC,CBB,AAA
BBC,CCC,BBB,BBB,ABB,CCC,BCC,BBC,AAA
BCC,CCC,BBB,BBB,BBA,CCC,CCC,BCC,AAA
CCC,CCC,BBA,BBB,BAA,CCC,CCC,CCC,AAB
CCC,CCC,BAA,BBB,AAB,CCC,CCC,CCC,ABA
CCC,CCC,AAA,BBB,ABB,CCC,CCC,CCC,BAA
CCC,CCC,AAB,BBA,BBB,CCC,CCC,CCC,AAB
CCC,CCC,ABA,BAA,BBA,CCC,CCC,CCC,ABA
CCB,CCC,BAA,AAA,BAA,CCB,CCC,CCC,BAA
CBB,CCC,AAB,AAA,AAA,CBB,CCC,CCC,AAA
BBB,CCC,ABB,AAA,AAB,BBB,CCC,CCC,AAC
BBB,CCC,BBA,AAA,ABB,BBC,CCC,CCC,ACB
BBB,CCC,BAA,AAA,BBB,BCC,CCC,CCC,CBC
BBB,CCC,AAA,AAA,BBB,CCB,CCC,CCB,BCB
BBB,CCC,AAA,AAA,BBB,CBB,CCC,CBB,CBA
BBB,CCC,AAA,AAB,BBB,BBB,CCB,BBB,BAA
BBB,CCC,AAA,ABC,BBB,BBB,CBB,BBB,AAB
BBC,CCC,AAA,BCB,BBB,BBB,BBC,BBA,ABB
BCC,CCC,AAB,CBB,BBB,BBC,BCC,BAA,BBB
CCB,CCC,ABB,BBB,BBB,BCB,CCB,AAA,BBC
CBB,CCC,BBB,BBC,BBB,CBC,CBB,AAB,BCC
BBB,CCC,BBB,BCC,BBB,BCC,BBA,ABB,CCC
BBC,CCC,BBC,CCB,BBB,CCB,BAA,BBA,CCB
BCB,CCC,BCC,CBB,BBB,CBC,AAA,BAC,CBB
CBA,CCC,CCC,BBB,BBB,BCC,AAC,ACB,BBB
BAA,CCC,CCC,BBB,BBB,CCC,ACC,CBB,BBB
AAA,CCC,CCB,BBB,BBA,CCC,CCB,BBB,BBB
AAB,CCC,CBB,BBB,BAB,CCC,CBC,BBB,BBB
ABB,CCC,BBA,BBA,ABB,CCC,BCC,BBA,BBA
BBB,CCC,BAB,BAA,BBB,CCC,CCB,BAB,BAB
BBB,CCC,ABC,AAA,BBB,CCC,CBC,ABB,ABB
BBB,CCC,BCC,AAB,BBB,CCC,BCB,BBB,BBB
BBA,CCC,CCB,ABB,BBB,CCB,CBB,BBA,BBB
BAB,CCC,CBB,BBB,BBB,CBB,BBB,BAB,BBB
ABB,CCC,BBB,BBB,BBB,BBA,BBB,ABC,BBB
BBC,CCC,BBB,BBB,BBB,BAB,BBA,BCA,BBB
BCB,CCC,BBA,BBB,BBB,ABA,BAA,CAA,BBC
CBA,CCC,BAB,BBC,BBA,BAB,AAA,AAC,BCC
BAB,CCC,ABB,BCC,BAA,ABB,AAB,ACB,CCC
ABA,CCC,BBC,CCB,AAA,BBB,ABB,CBB,CCC
BAB,CCC,BCC,CBB,AAA,BBB,BBB,BBA,CCC
ABA,CCC,CCC,BBB,AAA,BBB,BBB,BAA,CCC
BAA,CCC,CCC,BBB,AAB,BBB,BBB,AAB,CCB
AAB,CCC,CCB,BBB,ABB,BBB,BBB,ABB,CBB
ABB,CCC,CBB,BBB,BBB,BBA,BBC,BBB,BBB
BBA,CCC,BBB,BBC,BBB,BAA,BCB,BBB,BBA
BAB,CCC,BBC,BCC,BBB,AAB,CBA,BBB,BAC
ABB,CCC,BCB,CCC,BBC,ABB,BAA,BBC,ACC
BBB,CCC,CBC,CCC,BCB,BBA,AAA,BCB,CCC
BBC,CCC,BCB,CCB,CBC,BAB,AAA,CBC,CCB
BCC,CCC,CBB,CBC,BCB,ABB,AAA,BCB,CBB
CCB,CCC,BBB,BCB,CBA,BBA,AAB,CBB,BBB
CBC,CCC,BBC,CBB,BAA,BAB,ABB,BBB,BBB
BCB,CCC,BCB,BBB,AAA,ABB,BBB,BBB,BBB
CBC,CCC,CBB,BBB,AAB,BBA,BBB,BBB,BBB
BCB,CCC,BBA,BBB,ABB,BAB,BBB,BBB,BBB
CBC,CCC,BAA,BBB,BBB,ABC,BBB,BBB,BBB
BCB,CCC,AAB,BBC,BBB,BCC,BBB,BBA,BBB
CBC,CCC,ABA,BCB,BBB,CCB,BBC,BAB,BBB
BCC,CCC,BAA,CBB,BBB,CBB,BCC,ABB,BBB
CCC,CCC,AAA,BBB,BBA,BBC,CCC,BBB,BBB
CCC,CCC,AAB,BBB,BAA,BCC,CCB,BBB,BBC
CCC,CCC,ABB,BBB,AAB,CCB,CBC,BBB,BCC
CCC,CCC,BBB,BBB,ABB,CBB,BCC,BBB,CCC
CCC,CCC,BBB,BBB,BBA,BBB,CCC,BBB,CCB
CCC,CCC,BBC,BBB,BAA,BBB,CCC,BBA,CBB
CCB,CCC,BCA,BBB,AAA,BBB,CCC,BAA,BBC
CBB,CCC,CAA,BBB,AAB,BBB,CCB,AAA,BCA
BBB,CCC,AAA,BBB,ABB,BBB,CBA,AAA,CAB
BBB,CCC,AAB,BBC,BBC,BBB,BAA,AAA,ABB
BBA,CCC,ABB,BCC,BCC,BBB,AAB,AAC,BBB
BAA,CCC,BBB,CCC,CCB,BBB,ABA,ACC,BBA
AAA,CCC,BBB,CCC,CBB,BBA,BAB,CCB,BAB
AAA,CCC,BBB,CCC,BBB,BAA,ABB,CBB,ABB
AAA,CCC,BBB,CCB,BBB,AAA,BBB,BBB,BBA
AAA,CCC,BBB,CBB,BBB,AAA,BBB,BBB,BAA
AAA,CCC,BBC,BBB,BBB,AAA,BBB,BBB,AAA
AAB,CCC,BCA,BBB,BBB,AAA,BBC,BBB,AAA
ABB,CCC,CAB,BBB,BBB,AAA,BCB,BBB,AAA
BBC,CCC,ABB,BBA,BBB,AAA,CBC,BBB,AAA
BCC,CCC,BBB,BAB,BBB,AAA,BCA,BBB,AAB
CCC,CCC,BBB,ABB,BBA,AAB,CAB,BBA,ABB
CCA,CCC,BBA,BBB,BAA,ABA,ABA,BAA,BBA
CAA,CCC,BAA,BBB,AAA,BAA,BAA,AAA,BAC
AAA,CCC,AAA,BBA,AAA,AAA,AAA,AAA,ACC
AAA,CCC,AAA,BAA,AAA,AAA,AAA,AAA,CCC
AAA,CCC,AAA,AAA,AAB,AAA,AAA,AAA,CCC
AAA,CCC,AAA,AAA,ABC,AAA,AAA,AAA,CCC
AAA,CCC,AAA,AAA,BCC,AAA,AAA,AAA,CCC
AAA,CCC,AAA,AAB,CCC,AAA,AAB,AAA,CCC
AAA,CCC,AAA,ABB,CCB,AAA,ABB,AAB,CCC
AAB,CCC,AAA,BBB,CBB,AAA,BBB,ABB,CCB
ABB,CCC,AAA,BBB,BBA,AAB,BBB,BBB,CBB
BBB,CCC,AAB,BBB,BAA,ABB,BBC,BBA,BBB
BBB,CCC,ABB,BBB,AAB,BBB,BCB,BAB,BBA
BBC,CCC,BBB,BBA,ABB,BBC,CBB,ABC,BAA
BCC,CCC,BBC,BAA,BBB,BCC,BBB,BCC,AAA
CCC,CCC,BCC,AAB,BBB,CCC,BBB,CCC,AAA
CCC,CCC,CCC,ABC,BBC,CCC,BBA,CCC,AAA
CCC,CCC,CCC,BCC,BCC,CCC,BAA,CCC,AAA
CCC,CCC,CCC,CCB,CCC,CCC,AAB,CCC,AAA
CCC,CCC,CCC,CBB,CCB,CCC,ABC,CCC,AAA
CCC,CCC,CCC,BBB,CBB,CCC,BCC,CCC,AAA
CCC,CCC,CCC,BBB,BBB,CCB,CCC,CCC,AAA
CCC,CCC,CCB,BBB,BBB,CBB,CCC,CCC,AAB
CCC,CCC,CBB,BBB,BBA,BBB,CCC,CCB,ABB
CCC,CCC,BBB,BBB,BAA,BBB,CCC,CBC,BBC
CCC,CCC,BBB,BBB,AAA,BBB,CCC,BCC,BCB
CCC,CCC,BBB,BBB,AAB,BBB,CCC,CCC,CBB
CCB,CCC,BBB,BBB,ABB,BBB,CCC,CCC,BBC
CBC,CCC,BBB,BBA,BBB,BBA,CCC,CCC,BCC
BCC,CCC,BBB,BAA,BBB,BAA,CCC,CCC,CCB
CCC,CCC,BBC,AAA,BBB,AAA,CCC,CCB,CBB
